ZIP,LAT,LNG
00601,18.180555, -66.749961
00602,18.361945, -67.175597
00603,18.455183, -67.119887
00606,18.158345, -66.932911
00610,18.295366, -67.125135
00612,18.402253, -66.711397
00616,18.420412, -66.671979
00617,18.445147, -66.559696
00622,17.991245, -67.153993
00623,18.083361, -67.153897
00624,18.064919, -66.716683
00627,18.412600, -66.863926
00631,18.190607, -66.832041
00637,18.076713, -66.947389
00638,18.295913, -66.515588
00641,18.263085, -66.712985
00646,18.433150, -66.285875
00647,17.963613, -66.947127
00650,18.349416, -66.578079
00652,18.448452, -66.594127
00653,17.985033, -66.886536
00656,18.053539, -66.792931
00659,18.407226, -66.808999
00660,18.134695, -67.116199
00662,18.468320, -67.015781
00664,18.210330, -66.591616
00667,18.003422, -67.035810
00669,18.277102, -66.869645
00670,18.240187, -66.988776
